application_id,family_id,child_id,parent_employer,parent_income,job_type,application_date,application_status,Employer_Name,Income_Range,Job_Title,Employment_Status,Work_Location,Shift_Type,Hours_Per_Week,Start_Date,End_Date,Created_Date
APP_000001,FAM_000382,CH_007230,White LLC,124310.71,Contract,2020-03-09,Submitted,"Thompson, Stewart and Smith",<25K,Phytotherapist,Part-Time,South Ethanville,Day,56.28,2025-04-16,2026-11-13,2024-11-20
APP_000002,FAM_002194,CH_001569,Williams Ltd,123147.95,Part-Time,2016-01-07,Rejected,"Reid, Moon and Adams",25K-50K,"Engineer, water",Unemployed,Sarahburgh,Flexible,21.44,2021-02-21,2026-02-08,2018-04-24
APP_000003,FAM_001693,CH_009510,"Thomas, Curtis and Moore",20704.06,Full-Time,2016-10-29,Reviewed,Mathis PLC,<25K,Accommodation manager,Part-Time,Perrystad,Rotational,27.46,2020-08-15,2026-06-05,2023-05-22
APP_000004,FAM_000408,CH_007136,Wilson-Mitchell,112322.76,Full-Time,2023-05-23,Approved,"Norman, Stewart and Clark",25K-50K,Make,Part-Time,Clarkport,Flexible,18.76,2025-07-03,2026-02-25,2021-06-10
APP_000005,FAM_000392,CH_009452,Roy Inc,101005.34,Full-Time,2016-11-19,Rejected,"Moore, Mata and Carter",50K-75K,"Surveyor, minerals",Contract,West Elizabeth,Rotational,52.01,2017-12-25,2026-05-26,2017-12-11
APP_000006,FAM_001217,CH_001571,Salazar-Torres,113099.97,Part-Time,2024-09-11,Rejected,"Wallace, Gonzalez and Miller",<25K,Minerals surveyor,Employed,Port Dianeport,Night,45.79,2024-06-29,2026-04-19,2017-09-26
APP_000007,FAM_002607,CH_004530,Villegas Inc,18898.94,Part-Time,2016-08-31,Approved,Conley-Mosley,<25K,"Engineer, production",Contract,Lake Kimberlytown,Rotational,53.5,2018-06-19,2026-10-29,2019-03-11
APP_000008,FAM_001307,CH_000762,Williams-Garcia,110169.78,Part-Time,2023-05-24,Submitted,"Leonard, Marshall and Hunter",25K-50K,"Clinical scientist, histocompatibility and immunogenetics",Part-Time,Donnaland,Day,57.48,2018-06-23,2026-06-25,2021-03-09
APP_000009,FAM_000480,CH_009171,Wilson Group,52169.28,Seasonal,2019-08-20,Reviewed,"Martinez, Wong and Murphy",<25K,Clinical biochemist,Employed,Sweeneyburgh,Flexible,19.56,2021-04-08,2026-02-27,2023-12-18
APP_000010,FAM_001580,CH_004281,"Mcknight, Clayton and House",149149.24,Contract,2017-02-01,Approved,Thompson-Moore,>100K,Medical illustrator,Part-Time,New Garyborough,Day,55.72,2019-02-16,2026-04-18,2024-02-09
APP_000011,FAM_001929,CH_004061,Obrien-Green,24234.82,Part-Time,2018-07-31,Reviewed,Ward-Rodriguez,>100K,Press sub,Unemployed,Karenstad,Night,58.31,2020-03-12,2026-07-10,2018-09-03
APP_000012,FAM_000529,CH_006384,Murphy-Cole,85501.36,Part-Time,2019-03-09,Rejected,"Sosa, Mason and Stewart",>100K,"Engineer, agricultural",Part-Time,Marquezside,Flexible,34.23,2025-08-30,2026-02-23,2021-02-14
APP_000013,FAM_001567,CH_004745,Bennett Ltd,60681.87,Seasonal,2024-01-08,Reviewed,Wheeler PLC,25K-50K,Product designer,Employed,Port Staceystad,Flexible,50.06,2018-11-02,2026-03-13,2025-06-30
APP_000014,FAM_002848,CH_005561,Garrett-Lee,148595.36,Full-Time,2016-01-01,Approved,Nichols-Walker,50K-75K,"Teacher, music",Contract,West Krista,Night,24.08,2024-09-26,2026-04-10,2017-06-08
APP_000015,FAM_000563,CH_005261,Morrow Group,120909.63,Full-Time,2016-10-21,Rejected,"Miller, Brown and Bowman",>100K,Forest/woodland manager,Contract,Port Carlos,Night,10.97,2020-12-31,2026-10-04,2024-12-29
APP_000016,FAM_001701,CH_000162,Richardson-Mendez,138297.43,Contract,2018-09-03,Submitted,Holder Inc,25K-50K,"Teacher, early years/pre",Unemployed,Port Monique,Rotational,12.03,2019-04-02,2026-01-23,2023-03-29
APP_000017,FAM_001454,CH_007373,"Tapia, Hart and Wells",117238.07,Seasonal,2021-12-15,Rejected,"Livingston, Patrick and Adams",50K-75K,Research scientist (physical sciences),Part-Time,Cohenberg,Day,52.53,2020-06-20,2026-11-11,2021-07-10
APP_000018,FAM_002534,CH_003566,Ramirez-Jones,109783.57,Part-Time,2023-12-11,Approved,"Benton, Lee and Garner",25K-50K,Glass blower/designer,Part-Time,Whitneyland,Night,34.96,2022-08-29,2026-01-15,2019-12-02
APP_000019,FAM_001537,CH_002607,Phillips-Dennis,29628.3,Part-Time,2024-03-11,Reviewed,"Harris, Anderson and Phillips",>100K,Government social research officer,Part-Time,Lake Linda,Rotational,37.75,2023-06-30,2026-11-09,2017-05-01
APP_000020,FAM_000457,CH_008545,"Mckenzie, Walker and Taylor",124277.7,Seasonal,2022-10-19,Approved,Mcgrath-Benson,25K-50K,Biomedical engineer,Contract,Matthewchester,Rotational,50.42,2020-09-15,2026-04-01,2025-10-30
APP_000021,FAM_001741,CH_002018,West-Munoz,131942.83,Part-Time,2016-02-18,Reviewed,Silva LLC,25K-50K,"Education officer, community",Unemployed,Ernestshire,Flexible,24.04,2019-06-11,2025-12-01,2024-07-04
APP_000022,FAM_000830,CH_008267,Cabrera-Stewart,105582.22,Seasonal,2022-08-30,Reviewed,"White, King and Rowe",50K-75K,Land/geomatics surveyor,Part-Time,Aprilstad,Rotational,40.69,2023-12-29,2026-09-17,2025-05-28
APP_000023,FAM_001285,CH_007344,Davis Group,68693.31,Contract,2019-12-18,Submitted,"Holloway, Martin and Perez",>100K,Public relations account executive,Part-Time,South Rebeccatown,Flexible,38.53,2016-12-25,2026-04-05,2024-06-08
APP_000024,FAM_000214,CH_004839,Pierce and Sons,29360.58,Full-Time,2025-04-09,Approved,"Brooks, Harris and Carr",25K-50K,Media buyer,Contract,Josephburgh,Rotational,29.89,2019-05-23,2026-07-29,2021-05-30
APP_000025,FAM_000735,CH_001295,"Arnold, Taylor and Lopez",36736.84,Seasonal,2019-03-24,Reviewed,Scott-Lawrence,50K-75K,Financial planner,Part-Time,Vegafurt,Flexible,38.33,2025-03-03,2026-09-15,2017-11-29
APP_000026,FAM_000923,CH_007490,Ross Inc,70188.19,Part-Time,2020-07-10,Approved,"Hart, Lewis and Rosales",>100K,Special effects artist,Employed,West Traceyside,Flexible,44.81,2024-05-16,2026-02-09,2022-10-28
APP_000027,FAM_000604,CH_003507,"Wilson, Shaffer and Reyes",118701.84,Contract,2018-10-13,Rejected,Camacho-Cantrell,25K-50K,Physiotherapist,Contract,Lake Kevin,Flexible,15.83,2021-06-04,2025-12-28,2021-10-31
APP_000028,FAM_000874,CH_002035,Jones-Smith,29829.75,Contract,2020-03-13,Submitted,Rasmussen PLC,<25K,"Lighting technician, broadcasting/film/video",Unemployed,East Petermouth,Night,47.34,2018-07-18,2026-04-03,2018-02-07
APP_000029,FAM_000259,CH_002121,"Woods, Gilbert and Lyons",79488.17,Contract,2016-11-01,Submitted,Johnson and Sons,<25K,"Engineer, agricultural",Contract,Caitlinburgh,Flexible,48.79,2021-10-02,2026-08-17,2018-02-13
APP_000030,FAM_001070,CH_007568,Guerra-Rogers,62063.35,Part-Time,2018-11-07,Reviewed,Kim-Gill,<25K,"Secretary, company",Part-Time,Stevensonhaven,Flexible,10.85,2017-09-23,2026-09-11,2022-08-07
APP_000031,FAM_000647,CH_004866,Walker-Mckay,132273.72,Full-Time,2018-12-18,Submitted,"Walker, Paul and Sutton",>100K,"Administrator, local government",Unemployed,South Tony,Night,25.27,2016-06-14,2026-04-21,2018-12-03
APP_000032,FAM_000628,CH_003778,Chavez and Sons,80878.53,Seasonal,2022-09-03,Reviewed,Mitchell-Ellis,<25K,Intelligence analyst,Part-Time,West Andrew,Rotational,24.95,2023-09-11,2026-02-16,2023-09-03
APP_000033,FAM_000805,CH_009396,Romero-Bryant,38132.63,Contract,2023-04-29,Approved,Ward-Ramirez,>100K,"Engineer, manufacturing systems",Part-Time,East Tashabury,Day,57.51,2021-10-25,2026-05-12,2023-08-16
APP_000034,FAM_001427,CH_008305,Shaw and Sons,55252.25,Contract,2017-11-07,Submitted,Brown and Sons,25K-50K,"Librarian, public",Part-Time,Eddiestad,Flexible,27.17,2019-02-02,2025-12-20,2022-07-28
APP_000035,FAM_001219,CH_001882,Griffin Ltd,98857.58,Full-Time,2019-09-27,Approved,Harding Inc,25K-50K,Brewing technologist,Part-Time,East Jessica,Day,12.26,2022-07-28,2025-12-08,2023-08-11
APP_000036,FAM_002187,CH_000691,Gonzalez Inc,97298.06,Full-Time,2021-07-31,Approved,Riley and Sons,<25K,Product/process development scientist,Part-Time,South Larry,Flexible,13.13,2020-07-15,2026-04-08,2020-12-06
APP_000037,FAM_000162,CH_000789,Thomas Group,105935.62,Part-Time,2016-09-14,Approved,Villarreal-Johnson,50K-75K,Statistician,Contract,North Terri,Day,19.44,2018-05-25,2026-07-11,2019-03-06
APP_000038,FAM_002626,CH_005114,Bishop-Brewer,83462.84,Part-Time,2017-05-05,Reviewed,Moore Inc,>100K,Interpreter,Part-Time,Millerborough,Night,48.36,2019-02-18,2026-06-16,2023-09-05
APP_000039,FAM_002718,CH_001017,"Lee, Brady and Webb",69946.24,Seasonal,2016-07-05,Submitted,Fuller Ltd,25K-50K,Health visitor,Employed,Brianmouth,Flexible,41.68,2018-04-05,2025-12-13,2018-09-02
APP_000040,FAM_000279,CH_004356,Brennan Ltd,109114.77,Full-Time,2024-06-15,Submitted,Rogers-Jackson,>100K,Lexicographer,Unemployed,West James,Rotational,44.64,2019-03-15,2026-02-11,2022-09-04
APP_000041,FAM_001102,CH_000536,"Mata, Cameron and Costa",51682.89,Full-Time,2018-03-25,Reviewed,Johnson Ltd,25K-50K,Cabin crew,Part-Time,Howardville,Night,39.84,2019-04-22,2026-11-01,2025-07-27
APP_000042,FAM_002519,CH_007844,"Salas, Butler and Sanchez",117310.93,Contract,2016-03-07,Submitted,Joseph-Drake,<25K,Homeopath,Contract,Erichaven,Flexible,21.41,2015-11-27,2025-12-19,2025-08-29
APP_000043,FAM_001652,CH_003527,Pena Inc,60817.8,Part-Time,2017-06-06,Rejected,"Williams, Graham and Preston",25K-50K,"Civil engineer, consulting",Contract,Samuelberg,Flexible,25.29,2018-07-25,2026-02-09,2025-06-12
APP_000044,FAM_000156,CH_001596,Dixon Inc,108400.77,Seasonal,2020-10-16,Approved,"Garrison, Bell and Jones",25K-50K,Tree surgeon,Contract,Mcculloughtown,Night,25.74,2023-10-17,2026-07-10,2024-03-15
APP_000045,FAM_002415,CH_000834,"Wilkerson, Hill and Berg",61682.6,Seasonal,2019-05-23,Rejected,Davis and Sons,25K-50K,Nature conservation officer,Employed,South Amy,Day,39.12,2021-12-15,2025-12-26,2022-02-21
APP_000046,FAM_000408,CH_001104,"Johnson, Vasquez and Mooney",139552.6,Full-Time,2022-07-30,Rejected,Fleming-Thompson,25K-50K,Nature conservation officer,Contract,Mirandaview,Night,50.32,2017-12-24,2026-11-07,2019-01-26
APP_000047,FAM_002814,CH_001541,"Thompson, Thompson and Davis",23644.26,Contract,2023-08-15,Reviewed,"Brandt, Davis and Reynolds",<25K,Chief of Staff,Employed,Jennafurt,Night,49.54,2023-07-20,2026-07-29,2025-01-23
APP_000048,FAM_001248,CH_004380,"Baker, Knight and Hernandez",76491.54,Seasonal,2018-06-17,Approved,Torres-Perez,<25K,Electronics engineer,Contract,South Hannah,Flexible,11.7,2015-12-13,2026-05-24,2020-07-21
APP_000049,FAM_001035,CH_009021,Horne-Bell,94832.67,Contract,2019-10-30,Submitted,Martinez LLC,<25K,Tourist information centre manager,Unemployed,Hensonstad,Night,43.59,2021-02-26,2026-01-16,2020-04-02
APP_000050,FAM_001911,CH_008526,"Meyer, Peters and Campbell",70008.24,Part-Time,2019-07-01,Rejected,"Ross, Montoya and Black",>100K,Agricultural engineer,Unemployed,Johntown,Night,52.26,2021-11-20,2026-08-06,2024-09-10
APP_000051,FAM_002136,CH_005114,Hall Inc,111565.05,Seasonal,2017-10-21,Rejected,"Melton, Wilson and Harper",50K-75K,Banker,Contract,Edwardsport,Rotational,46.84,2023-01-14,2026-01-28,2020-09-06
APP_000052,FAM_001462,CH_002697,Beard-Stewart,135925.51,Seasonal,2016-10-03,Reviewed,Crawford-Mendoza,50K-75K,Computer games developer,Contract,West Angelicafurt,Flexible,19.92,2016-04-10,2026-06-23,2017-09-09
APP_000053,FAM_000893,CH_004231,Mccullough LLC,37001.57,Part-Time,2017-09-03,Submitted,"Gonzalez, Martin and Lloyd",25K-50K,Legal secretary,Contract,North Adam,Flexible,22.83,2019-08-24,2025-12-24,2016-10-30
APP_000054,FAM_002114,CH_006365,Graves PLC,16110.94,Seasonal,2023-07-18,Reviewed,"Solis, Cook and Dean",25K-50K,Operational researcher,Contract,Lake Tracey,Flexible,22.92,2019-06-18,2026-08-19,2017-05-31
APP_000055,FAM_000054,CH_009559,Hunt Group,14474.14,Contract,2019-10-20,Rejected,"Hayes, Stark and Li",25K-50K,Marketing executive,Part-Time,Hartberg,Rotational,41.9,2022-04-04,2026-06-19,2024-05-23
APP_000056,FAM_001297,CH_000766,"Rodriguez, Norman and Wallace",71263.82,Seasonal,2017-10-11,Rejected,"Nicholson, Rivera and Farrell",25K-50K,"Embryologist, clinical",Contract,Jacquelinestad,Night,56.97,2022-01-22,2026-09-23,2021-10-21
APP_000057,FAM_002714,CH_001244,Lawrence Ltd,107710.77,Full-Time,2016-01-22,Reviewed,"Smith, Willis and Flores",<25K,Ambulance person,Part-Time,Port Jessicachester,Rotational,58.66,2020-09-16,2026-06-25,2019-08-29
APP_000058,FAM_001877,CH_003276,Freeman-Huffman,128106.26,Contract,2017-12-18,Rejected,"Olson, Powers and Phillips",>100K,Animator,Unemployed,Lake Russell,Night,18.12,2025-04-10,2026-10-14,2021-01-31
APP_000059,FAM_002540,CH_001006,Davis-Bennett,80247.01,Part-Time,2017-08-12,Reviewed,Payne Group,25K-50K,"Horticulturist, amenity",Unemployed,South Gina,Flexible,50.36,2024-07-10,2026-06-05,2025-06-29
APP_000060,FAM_001143,CH_003392,Bell PLC,34017.74,Contract,2023-01-06,Reviewed,Johnson-Delgado,50K-75K,"Teacher, special educational needs",Part-Time,Howardfurt,Night,36.36,2021-02-28,2026-07-06,2020-02-28
APP_000061,FAM_000267,CH_003084,"Bond, Hall and Moore",26507.55,Part-Time,2021-01-06,Reviewed,"Newman, Robinson and Bonilla",50K-75K,"Surveyor, commercial/residential",Part-Time,Shieldsshire,Rotational,32.01,2022-07-05,2026-03-19,2016-12-20
APP_000062,FAM_002947,CH_003474,"Craig, Schwartz and Walker",99177.78,Seasonal,2025-09-17,Reviewed,"Kelly, Hanson and Gibbs",>100K,Diplomatic Services operational officer,Unemployed,South Audrey,Night,31.25,2021-03-12,2026-02-22,2020-07-15
APP_000063,FAM_000315,CH_005235,Mckinney Ltd,149346.09,Full-Time,2025-08-03,Submitted,Williams LLC,50K-75K,Fast food restaurant manager,Unemployed,Russellport,Day,23.4,2025-01-06,2025-12-29,2019-05-22
APP_000064,FAM_000958,CH_003243,Bailey-Mcdonald,88286.37,Part-Time,2018-02-16,Rejected,Ingram-Barr,50K-75K,Field seismologist,Part-Time,South Katherinestad,Day,34.5,2016-12-12,2026-01-16,2019-10-23
APP_000065,FAM_000931,CH_004954,Marshall-Moore,136668.94,Full-Time,2017-02-20,Rejected,Chung LLC,<25K,"Production assistant, television",Contract,West Johnton,Flexible,36.88,2022-10-18,2026-02-08,2025-08-29
APP_000066,FAM_000531,CH_001459,Sanchez-Gay,121673.0,Full-Time,2018-09-17,Rejected,Martinez PLC,>100K,Chartered certified accountant,Contract,Williamside,Flexible,28.63,2020-02-03,2025-11-27,2018-03-12
APP_000067,FAM_002289,CH_002823,Chavez-Yu,58783.14,Full-Time,2019-12-26,Rejected,Richmond PLC,25K-50K,English as a second language teacher,Part-Time,Derrickmouth,Day,56.36,2016-11-20,2026-03-28,2016-01-09
APP_000068,FAM_000905,CH_000767,Robertson Group,12166.87,Contract,2024-02-21,Reviewed,Peterson-Diaz,<25K,Insurance account manager,Part-Time,Lake Ethan,Day,55.76,2023-03-22,2026-02-02,2024-06-15
APP_000069,FAM_001100,CH_007860,"Fletcher, Browning and Carr",110780.91,Contract,2022-09-02,Approved,Craig-Gibbs,<25K,"Doctor, general practice",Unemployed,Jacksonland,Night,52.99,2019-10-08,2026-04-16,2020-07-27
APP_000070,FAM_002273,CH_004144,Ramos Inc,29748.08,Contract,2021-02-27,Submitted,Jensen Ltd,>100K,Sports administrator,Contract,Lake Caleb,Flexible,58.73,2025-06-05,2026-10-07,2016-03-12
APP_000071,FAM_001162,CH_001861,Wilson-Griffith,77917.11,Contract,2024-06-24,Rejected,"Wallace, Reyes and Yates",<25K,Horticultural therapist,Contract,North Benjamin,Day,21.7,2022-10-02,2026-08-09,2022-12-01
APP_000072,FAM_000450,CH_001581,Webb-Cox,58937.36,Part-Time,2015-11-28,Approved,Duran-Hardy,50K-75K,Graphic designer,Contract,Louiston,Day,21.57,2020-04-26,2026-10-07,2020-10-30
APP_000073,FAM_000031,CH_003181,"Young, Elliott and Skinner",132091.12,Part-Time,2025-03-08,Reviewed,Rodriguez-Fuller,25K-50K,Logistics and distribution manager,Part-Time,North Deannaville,Rotational,51.64,2022-05-01,2026-01-01,2016-07-23
APP_000074,FAM_002378,CH_002126,Schultz PLC,34243.02,Contract,2025-08-19,Reviewed,Herrera Group,>100K,Financial trader,Unemployed,Port Shannon,Night,18.83,2018-03-22,2025-12-22,2022-07-07
APP_000075,FAM_000825,CH_008528,"Edwards, Baker and Sellers",133193.75,Full-Time,2018-07-09,Reviewed,Bullock Ltd,<25K,Stage manager,Employed,Eugenechester,Rotational,36.85,2018-12-07,2026-01-31,2023-09-27
APP_000076,FAM_001750,CH_004364,Rivera-Harrison,129933.09,Contract,2022-07-15,Submitted,Rice-Nichols,<25K,Company secretary,Employed,Stephanieside,Day,55.17,2020-06-20,2026-07-27,2020-08-20
APP_000077,FAM_000307,CH_002635,Vasquez-Chavez,112585.49,Part-Time,2018-11-23,Reviewed,Bryant Inc,50K-75K,Landscape architect,Employed,Marquezfort,Flexible,41.33,2019-01-15,2026-08-17,2024-08-04
APP_000078,FAM_002200,CH_008899,"Morales, King and Johnston",14548.45,Contract,2016-12-04,Approved,"Brown, Nicholson and Nguyen",25K-50K,Higher education careers adviser,Part-Time,Fisherchester,Day,20.39,2024-05-28,2026-03-19,2023-05-24
APP_000079,FAM_001253,CH_006833,"Schmidt, Hamilton and Jones",100635.95,Contract,2020-05-13,Approved,Ruiz Group,>100K,Pension scheme manager,Employed,Port Andrewburgh,Night,14.51,2018-11-10,2026-05-26,2024-05-12
APP_000080,FAM_002161,CH_004113,Griffith-Woods,144435.68,Full-Time,2022-07-03,Rejected,Jones Group,50K-75K,Radio producer,Unemployed,Angelaberg,Day,56.47,2019-05-19,2026-07-26,2021-11-11
APP_000081,FAM_000746,CH_002189,"Mooney, Meyer and Mckinney",68969.16,Contract,2017-09-04,Reviewed,"Cook, Cook and Rogers",>100K,"Loss adjuster, chartered",Part-Time,Port Kylechester,Rotational,41.96,2018-01-19,2026-03-08,2023-04-24
APP_000082,FAM_000071,CH_000883,"Myers, Maldonado and Williams",127659.27,Contract,2016-09-22,Reviewed,Robinson-Adams,<25K,"Nurse, mental health",Unemployed,Lindseychester,Flexible,13.08,2025-03-05,2026-02-25,2023-02-18
APP_000083,FAM_000499,CH_000051,"Payne, Melton and Nichols",48562.26,Seasonal,2025-04-11,Rejected,Wilson PLC,<25K,Neurosurgeon,Contract,Aliciastad,Night,10.55,2019-12-14,2026-10-12,2023-06-11
APP_000084,FAM_002199,CH_009595,Moore Inc,54154.7,Full-Time,2020-12-24,Reviewed,Whitehead and Sons,>100K,Race relations officer,Part-Time,Curtisfort,Night,20.67,2025-07-28,2026-02-08,2017-06-10
APP_000085,FAM_001490,CH_005854,Phillips PLC,137550.41,Seasonal,2018-10-24,Reviewed,"Thomas, Parker and Hawkins",<25K,"Conservation officer, historic buildings",Contract,Angelview,Day,17.89,2017-05-27,2025-12-08,2019-08-13
APP_000086,FAM_001717,CH_002050,Smith-Warren,129921.15,Contract,2016-12-18,Rejected,Perez and Sons,25K-50K,Chief Financial Officer,Employed,East Amy,Day,46.88,2017-04-13,2026-05-13,2023-11-24
APP_000087,FAM_001403,CH_006271,"Middleton, Thomas and Wilson",141467.19,Contract,2018-10-27,Reviewed,Steele-Vance,50K-75K,Social worker,Employed,North Jenniferview,Flexible,36.84,2024-12-22,2026-05-27,2022-05-15
APP_000088,FAM_001050,CH_009897,Gallagher-Gentry,79685.05,Part-Time,2020-07-10,Rejected,Johnson-Smith,<25K,Magazine features editor,Contract,Walkerchester,Flexible,39.98,2025-06-25,2026-01-23,2024-05-07
APP_000089,FAM_001464,CH_002211,Logan-Burke,101959.25,Full-Time,2022-06-04,Submitted,Moore Group,<25K,Marine scientist,Employed,Lake Benjaminfurt,Night,51.04,2017-05-16,2026-09-19,2016-07-19
APP_000090,FAM_000880,CH_000431,Flynn-Martin,23899.48,Part-Time,2018-03-28,Approved,Brown-Brown,25K-50K,Medical secretary,Part-Time,Sergioland,Flexible,59.65,2022-03-25,2026-10-13,2023-11-30
APP_000091,FAM_001271,CH_006600,"Skinner, Cunningham and Taylor",128352.58,Part-Time,2023-09-22,Approved,Hughes-Morris,<25K,Barista,Contract,South Madisonport,Day,22.02,2022-01-15,2026-05-29,2019-12-16
APP_000092,FAM_000656,CH_009506,Sheppard-Hawkins,18139.25,Part-Time,2016-06-20,Approved,Prince PLC,25K-50K,"Engineer, energy",Employed,Port Kaylaborough,Flexible,50.06,2022-08-06,2026-03-04,2016-09-15
APP_000093,FAM_001742,CH_002241,Farmer LLC,24755.1,Contract,2017-09-30,Approved,"Tucker, Wade and Anderson",50K-75K,"Scientist, physiological",Part-Time,Theresafurt,Day,20.0,2022-07-31,2026-10-01,2022-04-27
APP_000094,FAM_000635,CH_007703,"Marshall, Henry and Johnson",115952.51,Full-Time,2022-08-27,Submitted,"Erickson, Tate and Carr",<25K,"Exhibitions officer, museum/gallery",Part-Time,South Kristen,Day,27.32,2023-11-20,2026-02-18,2018-03-25
APP_000095,FAM_002671,CH_005267,Taylor-Gonzales,75305.56,Contract,2023-09-12,Rejected,Neal and Sons,>100K,Dispensing optician,Contract,West Maryshire,Night,48.17,2023-10-27,2026-02-25,2024-04-02
APP_000096,FAM_001519,CH_003914,Bird-Rose,18033.08,Seasonal,2018-04-03,Rejected,Riley Inc,50K-75K,"Designer, graphic",Part-Time,Traciefurt,Day,52.19,2025-03-13,2026-07-21,2017-02-27
APP_000097,FAM_002029,CH_004252,"Perez, Watson and Mason",17133.37,Contract,2020-12-02,Approved,"Mitchell, Hebert and Clayton",25K-50K,Water quality scientist,Employed,Howeside,Night,18.48,2016-05-05,2026-02-26,2020-03-15
APP_000098,FAM_002940,CH_009100,"Woods, Webb and Benson",136120.62,Part-Time,2025-06-05,Submitted,"Barrett, Hernandez and Wallace",>100K,Copy,Employed,East Jeremy,Rotational,41.92,2024-11-29,2025-12-16,2022-05-07
APP_000099,FAM_000004,CH_001878,Ortega Inc,11858.26,Full-Time,2024-11-04,Submitted,Simpson-Allen,25K-50K,Photographer,Contract,East Marcside,Flexible,49.44,2017-12-08,2026-05-05,2022-03-02
APP_000100,FAM_000795,CH_003426,Lee-Powell,88137.29,Full-Time,2018-10-12,Rejected,"Flores, Reid and Anderson",50K-75K,Planning and development surveyor,Employed,Lake Catherineside,Day,31.04,2015-12-24,2026-04-19,2019-11-07
