assignment_id,employee_id,family_id,assigned_date,status,remarks,TRS_Rating_Score,TRS_Level,Assessment_Score,Mentor_Visits,Staff_Training_Count,Provider_Capacity,Capacity_Utilization_Percent,Provider_Type,Active_Children_Count,Complaints_Received,Corrective_Actions_Taken,Assessment_Status,Next_Assessment_Date,Data_Refresh_Timestamp
ASG_000000,EMP_000261,FAM_001863,2017-12-17,Assigned,That prepare kind worker yes strategy former test none.,2.36,Level 2,73.9,2,6,98,32.88,Center,205,7,1,Pending Review,2027-09-05,2025-11-14 15:16:57.525726
ASG_000001,EMP_001025,FAM_002252,2021-07-31,Completed,Green address side material material.,3.95,Level 3,68.06,5,12,281,89.3,School,185,8,4,Pending Review,2027-05-13,2025-11-14 15:16:57.525726
ASG_000002,EMP_000640,FAM_000721,2020-08-30,Completed,Summer bed recently thank environment.,2.88,Level 1,5.51,10,0,98,114.32,School,127,15,5,Scheduled,2027-07-16,2025-11-14 15:16:57.525726
ASG_000003,EMP_001011,FAM_001424,2016-03-06,Escalated,Evening action area church rich democratic scene most.,3.55,Level 3,84.36,5,4,149,12.01,School,157,19,1,Pending Review,2027-10-20,2025-11-14 15:16:57.525726
ASG_000004,EMP_001039,FAM_000770,2022-09-04,Completed,Mention at event student program pay walk.,2.44,Level 3,75.08,3,13,74,45.19,School,243,1,5,Completed,2026-06-20,2025-11-14 15:16:57.525726
ASG_000005,EMP_000386,FAM_001601,2024-07-14,Escalated,Attorney bed late size audience contain again.,1.35,Level 3,74.36,10,13,214,83.92,Home,124,17,5,Scheduled,2027-03-23,2025-11-14 15:16:57.525726
ASG_000006,EMP_000427,FAM_000890,2022-06-16,Assigned,Subject country meet oil born low politics dinner send together tax.,2.5,Level 1,76.48,1,19,15,84.09,Center,270,19,3,Scheduled,2025-11-27,2025-11-14 15:16:57.525726
ASG_000007,EMP_000892,FAM_000186,2016-10-31,Escalated,Man across during mouth total reveal note pressure none many either.,4.2,Level 1,38.28,5,12,101,50.96,School,71,19,0,Scheduled,2026-02-18,2025-11-14 15:16:57.525726
ASG_000008,EMP_001020,FAM_000438,2017-11-13,Escalated,Protect media situation them perhaps radio throw produce should our.,2.14,Level 2,65.8,8,18,84,94.28,School,59,4,5,Pending Review,2027-06-11,2025-11-14 15:16:57.525726
ASG_000009,EMP_000954,FAM_001106,2017-05-18,Assigned,Statement however yourself political evening someone fast develop allow pass.,3.27,Level 4,40.64,5,18,285,65.86,Home,23,15,5,Scheduled,2027-04-15,2025-11-14 15:16:57.525726
ASG_000010,EMP_001425,FAM_001790,2023-08-04,Escalated,Sit policy miss throw cause tree.,1.81,Level 3,67.61,10,17,260,89.33,Home,79,9,5,Scheduled,2026-10-02,2025-11-14 15:16:57.525726
