campaign_id,event_id,campaign_name,channel,budget,start_date,end_date,success_rate,budget_amount,expenditure_amount,utilization_percent,grant_amount,donations_received,fund_balance,reimbursement_claims,claim_status,payment_date,audit_flag,reporting_period,financial_manager,data_load_timestamp
CMP_000001,EVT_000028,Proactive fresh-thinking database,Radio,461682.76,2018-08-19,2026-02-15,87.02,2603932.37,3661590.56,21.04,1751918.57,69746.73,-92122.31,9,Rejected,2022-06-06,N,FY2023-Q3,Claudia Allen,2025-11-14 15:16:57.948035
CMP_000002,EVT_000492,Multi-lateral context-sensitive algorithm,SMS,127640.35,2023-07-30,2026-01-19,41.46,1270850.47,591673.29,25.47,1537149.29,188790.6,-46169.71,47,Approved,2019-09-23,N,FY2023-Q1,Christina Gross,2025-11-14 15:16:57.948035
CMP_000003,EVT_000629,Innovative responsive focus group,TV,431822.45,2020-06-14,2026-05-28,33.13,3954238.35,952663.44,111.91,1334220.98,258739.92,174194.05,26,Rejected,2025-05-02,N,FY2024-Q3,Kevin Espinoza,2025-11-14 15:16:57.948035
CMP_000004,EVT_000141,Seamless heuristic artificial intelligence,SMS,140735.27,2021-07-20,2026-03-30,79.92,2113873.9,1149291.89,2.52,1949572.75,425276.81,-69786.69,11,Approved,2025-05-03,Y,FY2025-Q2,Karina Carter,2025-11-14 15:16:57.948035
CMP_000005,EVT_000018,Extended stable help-desk,SMS,92480.55,2022-11-03,2025-11-23,60.26,1296279.94,9886.52,45.18,1734004.34,21786.04,138152.34,19,Approved,2019-11-28,N,FY2025-Q3,Jeffrey Aguirre,2025-11-14 15:16:57.948035
CMP_000006,EVT_001912,Re-engineered human-resource Graphic Interface,Radio,89738.06,2016-08-02,2025-11-24,89.92,2807884.74,3447656.38,186.52,1051710.43,358259.79,-90890.07,6,Rejected,2020-07-29,N,FY2024-Q2,Cynthia Gonzalez,2025-11-14 15:16:57.948035
CMP_000007,EVT_000692,Versatile fault-tolerant capacity,Radio,240572.58,2018-08-14,2026-05-11,11.99,515497.24,814019.26,159.37,352981.1,469273.41,436031.99,29,Approved,2023-10-22,N,FY2022-Q4,Elizabeth Wise,2025-11-14 15:16:57.948035
CMP_000008,EVT_000759,Persistent secondary hardware,SMS,262600.81,2022-08-27,2026-01-12,81.12,2297284.55,933611.43,48.24,483399.02,362232.85,304791.9,8,Approved,2024-07-06,Y,FY2020-Q4,Jared Smith,2025-11-14 15:16:57.948035
CMP_000009,EVT_000794,Realigned neutral adapter,SMS,354473.07,2025-01-23,2026-09-04,49.53,821988.91,718542.21,16.9,759226.19,479439.83,380378.48,34,Rejected,2022-03-30,Y,FY2021-Q2,Leroy Valencia,2025-11-14 15:16:57.948035
CMP_000010,EVT_001388,Progressive tertiary website,TV,420423.23,2021-03-24,2025-11-21,29.71,3823452.82,3467837.16,93.86,144328.65,377655.22,72740.66,41,Approved,2017-02-03,Y,FY2024-Q4,Christina Smith,2025-11-14 15:16:57.948035
