event_id,program_id,geo_id,event_name,event_type,event_date,participants_count,event_count,families_engaged,partners_engaged,volunteers_involved,calls_received,calls_resolved,avg_resolution_time_min,campaign_reach,campaign_type,feedback_score,satisfaction_rate,outcome_category,cost_per_event,channel_type,participation_score,attendance_count
EVT_000001,PGM_00089,GEO_0038,Synergized intangible project,Outreach,2016-05-25,440,4,101,17,74,430,489,17.57,4308,SMS,3.58,32.33,Partial,7714.88,Online,48.01,319
EVT_000002,PGM_00205,GEO_0030,Sharable user-facing utilization,Training,2020-12-04,486,2,12,13,63,426,434,61.78,9956,Email,3.5,80.65,Success,18972.38,Phone,28.74,50
EVT_000003,PGM_00220,GEO_0119,Stand-alone tangible Internet solution,Outreach,2022-01-15,408,4,166,15,81,324,137,42.71,9489,Phone,2.59,34.12,Failed,3751.39,Phone,32.65,410
EVT_000004,PGM_00431,GEO_0097,Polarized clear-thinking data-warehouse,Outreach,2022-12-05,433,3,188,17,94,133,300,104.84,11430,SMS,3.2,74.95,Failed,17342.35,SMS,67.44,404
EVT_000005,PGM_00180,GEO_0118,Vision-oriented context-sensitive workforce,Training,2023-07-19,120,3,178,0,36,466,50,66.13,17355,In-person,4.84,42.65,Failed,2848.87,Online,39.97,419
EVT_000006,PGM_00016,GEO_0021,Organized mission-critical service-desk,Training,2018-01-15,95,4,12,5,18,72,71,98.17,12883,Email,1.34,23.44,Failed,16348.13,Online,71.15,311
EVT_000007,PGM_00352,GEO_0082,Reduced multi-tasking analyzer,Webinar,2021-05-02,231,5,136,18,73,202,246,36.37,10631,SMS,3.99,30.68,Success,8176.28,In-person,60.75,126
EVT_000008,PGM_00072,GEO_0194,Operative empowering knowledge user,Webinar,2020-04-04,310,3,107,1,14,425,208,63.1,17507,Email,2.79,75.37,Success,15287.36,Online,73.12,278
EVT_000009,PGM_00076,GEO_0017,Balanced reciprocal access,Training,2020-09-04,284,5,176,11,97,418,408,96.86,1676,Phone,4.26,33.76,Partial,11379.16,Phone,34.81,87
EVT_000010,PGM_00072,GEO_0084,Synergistic even-keeled moderator,Training,2024-08-23,21,2,4,5,11,268,453,42.06,4552,Phone,3.76,82.81,Success,13428.13,In-person,5.01,248
EVT_000011,PGM_00002,GEO_0152,Digitized reciprocal initiative,Webinar,2023-07-16,254,1,93,8,42,30,308,74.23,2897,SMS,2.96,64.87,Partial,11570.17,Phone,79.41,428
EVT_000012,PGM_00267,GEO_0100,Balanced foreground matrix,Webinar,2024-08-11,459,4,51,7,51,130,294,5.43,13503,Phone,3.17,15.99,Failed,4196.66,Phone,43.53,218
EVT_000013,PGM_00146,GEO_0053,Organized homogeneous firmware,Training,2016-04-17,327,3,155,5,66,48,361,11.29,4282,Phone,1.76,47.19,Partial,11125.41,Online,37.69,165
EVT_000014,PGM_00072,GEO_0189,Virtual directional installation,Outreach,2021-10-06,32,5,15,14,30,109,248,111.73,2162,Email,2.55,61.78,Success,7612.72,In-person,94.52,453
EVT_000015,PGM_00401,GEO_0065,Optimized transitional process improvement,Outreach,2015-12-18,360,5,155,20,60,122,455,76.04,2161,SMS,1.23,42.64,Failed,13443.05,Phone,71.8,117
EVT_000016,PGM_00300,GEO_0190,Future-proofed dedicated complexity,Webinar,2020-04-11,283,3,166,18,73,264,80,36.74,6734,SMS,1.04,56.91,Partial,19945.4,Online,20.83,300
EVT_000017,PGM_00044,GEO_0158,Visionary next generation emulation,Webinar,2025-10-10,73,4,138,0,81,448,124,22.24,5840,In-person,1.61,20.98,Failed,13810.41,Phone,31.32,66
EVT_000018,PGM_00342,GEO_0049,Reduced scalable hardware,Training,2016-03-20,309,1,116,2,22,299,65,40.02,6371,Email,3.74,62.33,Failed,18135.58,Online,60.84,247
EVT_000019,PGM_00271,GEO_0078,Visionary optimizing neural-net,Outreach,2023-07-28,389,2,29,3,21,234,313,6.15,2484,In-person,3.66,14.75,Failed,13014.07,In-person,17.57,247
EVT_000020,PGM_00235,GEO_0185,Object-based attitude-oriented groupware,Conference,2023-12-29,160,3,43,16,12,53,143,96.51,2195,Email,4.44,2.99,Failed,13839.58,Online,8.66,486
EVT_000021,PGM_00281,GEO_0132,Streamlined demand-driven database,Conference,2024-01-21,175,3,65,10,76,331,65,112.85,9663,Phone,3.11,45.68,Partial,11465.2,SMS,77.91,66
EVT_000022,PGM_00017,GEO_0029,Expanded didactic process improvement,Training,2023-11-11,253,3,153,14,17,335,489,9.16,15999,SMS,1.26,59.98,Partial,529.5,In-person,96.46,403
EVT_000023,PGM_00366,GEO_0140,Realigned disintermediate structure,Training,2021-02-13,72,3,170,17,65,10,239,116.65,8308,Phone,3.08,70.49,Partial,7044.49,In-person,57.72,396
EVT_000024,PGM_00471,GEO_0028,Multi-tiered executive Graphic Interface,Training,2019-03-10,305,3,189,3,8,211,347,78.84,12746,In-person,2.23,95.97,Success,4331.74,Online,66.12,464
