Integration_ID,Financial_ID,Program_ID,Provider_ID,Funding_ID,Region_ID,Transaction_Date_ID,Budget_Amount,Expenditure_Amount,Utilization_Percent,Grant_Amount,Donations_Received,Fund_Balance,Compliance_Score,Reimbursement_Claims,Claim_Status,Payment_Date,Audit_Flag,Reporting_Period,Financial_Manager,Data_Load_Timestamp,Created_DT,Updated_DT
FIN_000001,FID000001,PGM00499,PROV6149,FUND_0001,REG73,2025-07-20,2765711.44,2377746.43,85.97,621415.03,116439.31,387965.01,90.94,101,Approved,2025-09-10,Y,2025-07,Melissa Murray,2025-11-19 15:54:45.250516,2025-07-20,2026-01-20
FIN_000002,FID000002,PGM00147,PROV9284,FUND_0002,REG15,2025-11-12,3487302.42,2064562.65,59.2,2386935.58,178043.59,1422739.77,76.7,47,Approved,2025-11-16,N,2025-11,Joseph Reid,2025-11-19 15:54:45.250516,2025-11-12,2026-05-05
FIN_000003,FID000003,PGM00047,PROV4842,FUND_0003,REG44,2024-10-29,376852.37,196464.65,52.13,109158.49,24153.14,180387.72,81.97,97,Pending,2025-04-21,Y,2024-10,Danielle Osborne,2025-11-19 15:54:45.251518,2024-10-29,2025-02-21
FIN_000004,FID000004,PGM00369,PROV8906,FUND_0004,REG34,2024-06-21,2644491.35,2402850.18,90.86,280681.68,50463.8,241641.17,99.05,122,Approved,2024-12-10,Y,2024-06,Jasmine Smith,2025-11-19 15:54:45.251518,2024-06-21,2024-10-17
FIN_000005,FID000005,PGM00425,PROV9938,FUND_0005,REG92,2025-06-19,831360.45,657492.35,79.09,656652.38,27122.09,173868.1,85.43,11,Approved,2025-11-16,N,2025-06,Allison Erickson,2025-11-19 15:54:45.251518,2025-06-19,2025-12-11
FIN_000006,FID000006,PGM00070,PROV8405,FUND_0006,REG52,2024-10-17,3801288.65,2141300.17,56.33,1927662.37,124931.49,1659988.48,97.08,99,Rejected,2025-09-15,N,2024-10,Christopher Edwards,2025-11-19 15:54:45.252508,2024-10-17,2025-10-11
FIN_000007,FID000007,PGM00499,PROV5268,FUND_0007,REG18,2025-01-23,2897506.61,2095814.46,72.33,709396.89,206908.34,801692.15,79.84,62,Approved,2025-04-15,Y,2025-01,Wesley Austin,2025-11-19 15:54:45.252508,2025-01-23,2025-03-16
FIN_000008,FID000008,PGM00032,PROV5387,FUND_0008,REG20,2024-11-03,986699.8,567589.76,57.52,661989.28,15091.39,419110.04,76.53,46,Approved,2025-07-28,Y,2024-11,Taylor Norton,2025-11-19 15:54:45.252508,2024-11-03,2025-06-15
FIN_000009,FID000009,PGM00395,PROV3049,FUND_0009,REG29,2024-02-20,607364.67,438483.6,72.19,360425.08,25974.86,168881.07,87.05,4,Pending,2024-04-26,N,2024-02,Amanda Brewer,2025-11-19 15:54:45.253505,2024-02-20,2024-10-29
FIN_000010,FID000010,PGM00471,PROV7350,FUND_0010,REG18,2025-02-22,3902255.96,2923734.96,74.92,1365063.1,355467.53,978521.0,86.78,173,Rejected,2025-11-11,N,2025-02,Stacey Wall,2025-11-19 15:54:45.253505,2025-02-22,2025-03-04
FIN_000011,FID000011,PGM00196,PROV1404,FUND_0011,REG78,2024-02-17,1965430.14,1489865.72,75.8,1378828.55,20085.17,475564.42,91.43,94,Pending,2024-02-18,N,2024-02,Jillian Kennedy,2025-11-19 15:54:45.253505,2024-02-17,2024-09-22
FIN_000012,FID000012,PGM00030,PROV7391,FUND_0012,REG18,2024-12-18,4269489.58,2475646.86,57.98,2328690.71,206591.36,1793842.72,71.33,85,Pending,2025-11-01,Y,2024-12,Jason Turner,2025-11-19 15:54:45.253505,2024-12-18,2025-08-30
FIN_000013,FID000013,PGM00346,PROV8447,FUND_0013,REG16,2025-02-04,1929191.25,1788741.59,92.72,742646.27,57148.08,140449.66,73.43,193,Pending,2025-07-01,N,2025-02,Harold Rice,2025-11-19 15:54:45.253505,2025-02-04,2025-04-10
FIN_000014,FID000014,PGM00024,PROV1614,FUND_0014,REG91,2024-11-08,138239.46,74173.58,53.66,100294.45,6629.73,64065.88,93.64,6,Pending,2025-10-09,Y,2024-11,George Aguilar,2025-11-19 15:54:45.253505,2024-11-08,2025-06-13
FIN_000015,FID000015,PGM00141,PROV5721,FUND_0015,REG54,2024-07-01,4765491.38,2931327.8,61.51,3029667.3,423506.51,1834163.58,82.46,151,Rejected,2025-04-11,N,2024-07,Jason Morris,2025-11-19 15:54:45.254662,2024-07-01,2025-06-04
FIN_000016,FID000016,PGM00204,PROV7274,FUND_0016,REG74,2024-10-23,2747678.86,2561271.18,93.22,1046093.28,139169.45,186407.68,91.63,14,Approved,2025-03-03,Y,2024-10,Steven Martinez,2025-11-19 15:54:45.255641,2024-10-23,2025-03-18
FIN_000017,FID000017,PGM00058,PROV9202,FUND_0017,REG21,2025-10-28,1134342.83,901137.33,79.44,213821.87,21035.36,233205.5,73.28,144,Approved,2025-11-02,Y,2025-10,Stephen Ward,2025-11-19 15:54:45.255641,2025-10-28,2025-12-16
FIN_000018,FID000018,PGM00350,PROV8799,FUND_0018,REG96,2024-02-10,4195073.08,2745965.88,65.46,3047650.55,122043.95,1449107.2,70.23,55,Pending,2024-09-08,N,2024-02,Victoria Lawson,2025-11-19 15:54:45.255641,2024-02-10,2024-05-12
FIN_000019,FID000019,PGM00374,PROV5099,FUND_0019,REG80,2025-04-09,2760435.02,2484874.35,90.02,944831.67,50893.1,275560.67,87.91,123,Rejected,2025-05-17,Y,2025-04,Allen Price,2025-11-19 15:54:45.255641,2025-04-09,2025-07-13
FIN_000020,FID000020,PGM00411,PROV6603,FUND_0020,REG91,2025-04-20,1141997.24,733704.08,64.25,596715.64,72541.68,408293.16,91.62,41,Approved,2025-08-20,N,2025-04,Patricia Scott,2025-11-19 15:54:45.255641,2025-04-20,2025-05-01
FIN_000021,FID000021,PGM00171,PROV1698,FUND_0021,REG35,2025-07-22,2595709.12,1716382.39,66.12,1094977.68,160309.84,879326.73,90.79,185,Approved,2025-08-21,N,2025-07,Tracie Woodard,2025-11-19 15:54:45.255641,2025-07-22,2025-11-25
