claim_id,family_id,child_id,provider_id,program_id,eligibility_id,employee_id,geo_id,enrollment_date,end_date,subsidy_amount,payment_status,attendance_days,enrollment_count,waitlist_count,recertification_count,termination_count,attrition_count,target_enrollment,actual_enrollment,attendance_rate,avg_program_duration_days,compliance_status,referral_count,family_participation_score,case_manager_id,last_updated_timestamp
CLM_000001,FAM_000247,CH_007903,PRV_001256,PGM_00304,ELG_002083,EMP_000277,GEO_0027,2016-07-22,2026-01-13,2883.48,Denied,59,1,3,0,2,1,137,60,37.24,219,Non-Compliant,8,23.59,EMP_000420,2025-11-14 15:16:57.140971
CLM_000002,FAM_002681,CH_002857,PRV_001535,PGM_00067,ELG_001988,EMP_001081,GEO_0162,2020-09-12,2026-10-06,2510.35,Paid,85,1,6,0,0,1,86,148,81.37,107,Pending,2,51.58,EMP_000318,2025-11-14 15:16:57.140971
CLM_000003,FAM_000766,CH_004271,PRV_001546,PGM_00066,ELG_002924,EMP_001415,GEO_0096,2021-09-02,2026-06-05,3319.84,Paid,147,1,8,3,1,1,73,138,95.26,319,Compliant,6,1.67,EMP_001269,2025-11-14 15:16:57.140971
CLM_000004,FAM_002573,CH_009419,PRV_000134,PGM_00378,ELG_002923,EMP_000785,GEO_0159,2018-07-17,2026-08-25,3019.75,Paid,120,1,8,0,0,2,79,298,31.14,191,Pending,7,71.0,EMP_000959,2025-11-14 15:16:57.140971
CLM_000005,FAM_002207,CH_006728,PRV_001666,PGM_00349,ELG_001322,EMP_000903,GEO_0118,2019-04-13,2026-03-16,1486.35,Pending,116,1,4,3,2,1,65,72,31.27,202,Non-Compliant,1,91.89,EMP_001433,2025-11-14 15:16:57.140971
CLM_000006,FAM_000272,CH_003567,PRV_001367,PGM_00406,ELG_002723,EMP_001189,GEO_0159,2017-05-04,2026-07-05,22.99,Denied,136,1,6,2,2,1,263,251,86.93,319,Compliant,2,14.16,EMP_000651,2025-11-14 15:16:57.140971
CLM_000007,FAM_002417,CH_000317,PRV_001248,PGM_00032,ELG_001035,EMP_000579,GEO_0128,2019-09-23,2026-11-07,1210.87,Denied,105,1,0,1,0,1,183,155,73.32,312,Non-Compliant,5,36.74,EMP_000020,2025-11-14 15:16:57.140971
CLM_000008,FAM_000864,CH_001900,PRV_000484,PGM_00137,ELG_002350,EMP_000705,GEO_0107,2020-12-31,2026-01-11,4965.76,Denied,103,1,10,2,0,1,173,116,74.23,139,Non-Compliant,9,92.88,EMP_000722,2025-11-14 15:16:57.140971
CLM_000009,FAM_002710,CH_009061,PRV_001085,PGM_00243,ELG_001741,EMP_001325,GEO_0019,2022-08-25,2026-10-23,254.73,Denied,139,1,4,2,1,2,148,125,40.77,177,Pending,9,32.46,EMP_001362,2025-11-14 15:16:57.140971
CLM_000010,FAM_002089,CH_009479,PRV_002992,PGM_00325,ELG_002897,EMP_000273,GEO_0106,2025-02-14,2026-04-05,4743.3,Denied,37,1,10,2,0,1,191,56,23.3,271,Pending,8,43.37,EMP_001500,2025-11-14 15:16:57.140971
CLM_000011,FAM_002390,CH_001904,PRV_002251,PGM_00384,ELG_000785,EMP_000186,GEO_0010,2021-07-12,2026-01-27,1746.04,Paid,37,1,2,3,1,2,54,107,56.42,350,Compliant,9,6.08,EMP_000968,2025-11-14 15:16:57.140971
CLM_000012,FAM_000756,CH_008288,PRV_002612,PGM_00127,ELG_001633,EMP_001068,GEO_0030,2021-09-10,2025-12-01,4821.96,Pending,169,1,2,2,0,0,105,149,21.5,169,Compliant,7,24.85,EMP_000060,2025-11-14 15:16:57.140971
